temperature_2m_max,temperature_2m_min,shortwave_radiation_sum,cloudcover_mean,relative_humidity_2m_mean,windspeed_10m_max,date
33.2,25.5,18.42,65,76,21.4,2024-07-15
34.3,25.6,21.57,53,77,15.5,2024-07-16
34.7,28.2,21.42,28,75,13.7,2024-07-17
34.7,27.7,20.21,81,76,12.1,2024-07-18
34.4,27.3,20.47,72,77,12.0,2024-07-19
35.1,27.1,21.72,46,75,13.0,2024-07-20
34.8,27.2,20.35,41,78,16.3,2024-07-21
34.6,27.8,19.04,91,78,10.9,2024-07-22
34.8,27.0,19.98,66,80,14.9,2024-07-23
33.7,26.4,15.43,75,82,9.5,2024-07-24
34.7,27.2,20.44,81,76,11.1,2024-07-25
33.0,27.4,12.59,98,81,13.0,2024-07-26
34.0,28.0,15.63,84,81,16.1,2024-07-27
35.1,28.6,19.1,39,77,15.7,2024-07-28
35.7,28.3,19.83,52,73,15.8,2024-07-29
36.4,29.0,19.84,60,70,13.7,2024-07-30
37.1,26.5,20.27,100,78,17.4,2024-07-31
31.2,25.5,13.72,99,85,17.8,2024-08-01
32.2,25.5,16.91,82,83,17.6,2024-08-02
32.4,26.0,16.73,45,82,20.9,2024-08-03
33.5,26.9,21.03,37,74,25.9,2024-08-04
32.6,26.4,18.6,55,76,31.0,2024-08-05
31.8,26.4,14.77,70,76,14.7,2024-08-06
30.1,25.5,8.84,98,86,11.2,2024-08-07
31.5,25.5,14.96,82,87,12.3,2024-08-08
31.8,25.3,17.13,99,87,8.4,2024-08-09
31.3,24.9,15.67,100,87,9.8,2024-08-10
30.9,25.6,12.93,99,89,11.1,2024-08-11
30.0,25.6,9.98,98,91,13.6,2024-08-12
30.8,25.2,13.55,94,90,15.1,2024-08-13
30.7,25.9,12.98,98,89,10.8,2024-08-14
32.2,25.9,18.67,85,87,14.1,2024-08-15
32.3,25.5,16.88,97,88,15.5,2024-08-16
31.9,25.7,17.16,97,86,9.6,2024-08-17
32.7,26.2,18.96,63,83,14.7,2024-08-18
32.7,26.2,20.04,87,82,17.0,2024-08-19
31.6,26.4,15.71,97,85,12.7,2024-08-20
32.0,25.1,20.4,90,86,8.7,2024-08-21
32.8,24.7,20.91,66,86,10.7,2024-08-22
30.7,24.9,12.93,74,86,10.5,2024-08-23
31.5,25.3,15.82,71,84,16.6,2024-08-24
32.2,24.9,21.05,45,79,22.0,2024-08-25
31.6,26.0,19.26,44,83,22.7,2024-08-26
31.2,24.3,18.99,88,85,24.1,2024-08-27
30.3,24.2,17.06,91,87,16.2,2024-08-28
30.9,24.4,14.4,81,87,19.4,2024-08-29
31.3,25.0,16.53,53,88,9.1,2024-08-30
33.3,25.6,21.44,22,79,13.3,2024-08-31
33.5,25.9,20.92,38,76,13.9,2024-09-01
31.5,25.1,13.71,83,84,14.1,2024-09-02
31.6,25.4,16.25,66,87,13.4,2024-09-03
30.8,24.4,16.26,87,87,10.6,2024-09-04
31.6,24.8,19.82,40,84,12.8,2024-09-05
30.6,24.2,15.36,80,89,15.6,2024-09-06
30.4,24.1,13.35,94,88,11.8,2024-09-07
31.3,24.4,16.43,97,87,10.3,2024-09-08
32.7,25.2,20.12,55,82,13.2,2024-09-09
30.7,24.9,14.03,86,89,11.5,2024-09-10
31.7,25.0,15.07,75,89,16.6,2024-09-11
27.2,23.9,3.41,97,91,24.4,2024-09-12
30.0,23.3,13.41,83,89,22.7,2024-09-13
29.9,22.6,17.6,47,84,18.7,2024-09-14
31.2,22.5,20.44,15,79,19.8,2024-09-15
32.1,23.7,20.96,4,73,17.3,2024-09-16
31.5,23.9,16.07,62,74,11.6,2024-09-17
27.7,22.8,7.92,99,86,17.9,2024-09-18
29.8,22.8,16.27,59,85,15.7,2024-09-19
31.1,24.0,18.75,28,80,12.2,2024-09-20
31.6,24.8,16.21,45,79,9.2,2024-09-21
33.1,25.3,18.88,27,77,6.9,2024-09-22
33.3,25.1,20.12,1,78,10.7,2024-09-23
33.6,25.2,19.65,7,77,6.9,2024-09-24
33.0,26.4,17.94,50,81,16.1,2024-09-25
31.4,25.3,14.75,86,82,13.2,2024-09-26
30.9,24.8,17.57,31,80,16.0,2024-09-27
30.5,23.1,14.26,73,81,11.6,2024-09-28
30.7,22.6,13.82,61,83,10.1,2024-09-29
32.7,23.5,17.95,29,77,15.2,2024-09-30
33.2,24.0,19.34,1,76,14.9,2024-10-01
34.6,24.7,19.49,0,73,17.7,2024-10-02
33.9,24.5,19.57,0,66,18.4,2024-10-03
33.5,23.8,19.2,0,68,13.4,2024-10-04
33.6,24.2,17.84,7,66,17.8,2024-10-05
33.6,23.7,18.34,5,65,15.9,2024-10-06
32.4,21.9,18.52,0,71,9.1,2024-10-07
32.5,22.2,18.08,1,70,10.0,2024-10-08
32.2,20.6,18.26,2,65,14.8,2024-10-09
32.3,21.0,18.26,8,60,13.9,2024-10-10
